study_id,interval_definition,statistic,value,unit,dispersion_comparator,n,population,meta_analysis_note,url,delay_domain,value_months,statistic_group,full_text_status
TUDOR2020,Symptom onset to treatment,Mean,1.9,years,SD 1.4,42,Treated iNPH cohort,Treatment-conditioned sample,https://doi.org/10.1080/02688697.2020.1726288,Symptom onset to treatment,22.799999999999997,Mean,Full-text extracted
RAZAY2019,Symptom duration at diagnosis,Median,24,months,IQR 12-42,62,Diagnosed iNPH,Not necessarily all health-system delay,https://doi.org/10.1136/bmjopen-2018-028103,Onset/documentation to diagnosis,24,Median,Full-text extracted
KURIYAMA2017,Approximate onset-to-treatment interval,Reported approximation,1.5,years,No variance reported,1524,Second-stage survey sample,Do not pool without exact definition and dispersion,https://doi.org/10.1002/brb3.635,Symptom onset to treatment,18,Other/approximate,Full-text extracted
SADAGOPAN2026,Urinary-incontinence documentation to iNPH diagnosis - female,Mean,40.3,months,Male comparator 16.8 months,44,Treated complete-triad cohort,Abstract-screen candidate; full text required,https://doi.org/10.1097/SPV.0000000000001737,Onset/documentation to diagnosis,40.3,Mean,Pending full-text verification
SADAGOPAN2026,Urinary-incontinence documentation to iNPH diagnosis - male,Mean,16.8,months,Female comparator 40.3 months,38,Treated complete-triad cohort,Abstract-screen candidate; full text required,https://doi.org/10.1097/SPV.0000000000001737,Onset/documentation to diagnosis,16.8,Mean,Pending full-text verification
KLASSEN2011,First symptom consistent with NPH to shunt,Mean,2.4,years,Range 0.4-7.0,13,Shunted population-linked cohort,Symptom duration includes patient and system components,NA,Symptom onset to treatment,28.799999999999997,Mean,Full-text extracted
HASSELBALCH2023,Symptom duration before evaluation,Mean,3.7,years,SD 3.1; range 0.5-21,127,Shunted treatment-conditioned cohort,Not a pure health-system delay; selected responders/nonresponders,https://doi.org/10.1111/ene.15981,Other symptom or care interval,44.400000000000006,Mean,Full-text extracted
ACOSTA2021_PP,Initial neurology assessment to HVLP,Mean,249.7,days,SD 629.8,26,Pre-protocol suspected iNPH,Highly dispersed historical comparator,https://doi.org/10.1212/CPJ.0000000000001018,Specialist assessment to diagnostic test,8.203696098562627,Mean,Full-text extracted
ACOSTA2021_PROTOCOL,Initial neurology assessment to HVLP,Mean,69.5,days,SD 32.7,40,Protocol suspected iNPH,Implementation comparison,https://doi.org/10.1212/CPJ.0000000000001018,Specialist assessment to diagnostic test,2.2833675564681726,Mean,Full-text extracted
ACOSTA2021_PP,Initial neurology assessment to neurosurgery,Mean,204.5,days,SD 542.6,26,Pre-protocol suspected iNPH,Difference versus protocol not statistically significant,https://doi.org/10.1212/CPJ.0000000000001018,Other symptom or care interval,6.718685831622176,Mean,Full-text extracted
ACOSTA2021_PROTOCOL,Initial neurology assessment to neurosurgery,Mean,72.5,days,SD 28.03,40,Protocol suspected iNPH,Difference versus pre-protocol not statistically significant,https://doi.org/10.1212/CPJ.0000000000001018,Other symptom or care interval,2.3819301848049284,Mean,Full-text extracted
ACOSTA2021_PP,HVLP to neurosurgical evaluation,Mean,47.5,days,SD 132.8,26,Pre-protocol suspected iNPH,Implementation comparison,https://doi.org/10.1212/CPJ.0000000000001018,Diagnostic test to neurosurgical evaluation,1.5605749486652978,Mean,Full-text extracted
ACOSTA2021_PROTOCOL,HVLP to neurosurgical evaluation,Mean,7.2,days,SD 10.9,40,Protocol suspected iNPH,Shorter than pre-protocol; p<0.001,https://doi.org/10.1212/CPJ.0000000000001018,Diagnostic test to neurosurgical evaluation,0.23655030800821356,Mean,Full-text extracted
ACOSTA2021_PP,Initial neurology assessment to shunt,Mean,282.2,days,SD 578.5,22,Pre-protocol shunted,Reported table labels group N=26; 22 actually shunted,https://doi.org/10.1212/CPJ.0000000000001018,Specialist assessment to shunt,9.271457905544148,Mean,Full-text extracted
ACOSTA2021_PROTOCOL,Initial neurology assessment to shunt,Mean,111.3,days,SD 41.5,23,Protocol shunted,Shorter than pre-protocol; p=0.048,https://doi.org/10.1212/CPJ.0000000000001018,Specialist assessment to shunt,3.6566735112936346,Mean,Full-text extracted
ACOSTA2021_PP,HVLP to shunt,Mean,130,days,SD 160.4,22,Pre-protocol shunted,Reported table labels group N=26; 22 actually shunted,https://doi.org/10.1212/CPJ.0000000000001018,Diagnostic test/decision to shunt,4.271047227926078,Mean,Full-text extracted
