analysis_id,analysis_label,set_id,entry_setting,test_type,timepoint_months,overlap_cluster,include_pool,decision_note,effect_key,study_id,year,data_level,stage,estimand,numerator,denominator,proportion,complement,pooling_stratum,pool,notes,source_location,url,source_type,study_year,country,design,base_population,synthesis_status,main_bias_limitation,study_label
P1_REFERRAL_TO_SHUNT,Initial suspicion/referral to shunt,primary,Specialist referral clinic,NA,NA,Bologna,TRUE,Initial referral denominator,GIANNINI2019||E4||End-to-end shunt receipt among initial referrals,GIANNINI2019,2019,Patients,E4,End-to-end shunt receipt among initial referrals,43,154,0.2792207792207792,0.7207792207792207,Patient cascade - end-to-end,Yes,Combines diagnostic attrition and treatment non-progression,Derived from reported flow,https://doi.org/10.1016/j.parkreldis.2019.07.021,reported,2019,Italy,Prospective observational,Suspected iNPH referrals,Include,Single-center structured protocol; some patients still ongoing,GIANNINI2019 (2019)
P1_REFERRAL_TO_SHUNT,Initial suspicion/referral to shunt,primary,Multidisciplinary referral clinic,NA,NA,NA,TRUE,Prospective implementation cohort,ALHUSAINI2024||E4||End-to-end shunt receipt among referrals,ALHUSAINI2024,2024,Patients,E4,End-to-end shunt receipt among referrals,41,111,0.36936936936936937,0.6306306306306306,Patient cascade - end-to-end,Yes,Implementation cohort,Results,https://doi.org/10.3390/jcm13206135,reported,2024,USA,Prospective implementation cohort,New suspected NPH referrals,Include,No pre-protocol comparator; candidates include 3 secondary NPH,ALHUSAINI2024 (2024)
P1_REFERRAL_TO_SHUNT,Initial suspicion/referral to shunt,primary,Defined-catchment referral,NA,NA,NA,TRUE,Population catchment with active referral reminders,MARTINLAEZ2016||E4||End-to-end shunt receipt among suspected referrals,MARTINLAEZ2016,2016,Patients,E4,End-to-end shunt receipt among suspected referrals,152,293,0.5187713310580204,0.4812286689419796,Patient cascade - end-to-end,Yes,Defined catchment population,Figure 2 / Results,https://doi.org/10.1016/j.wneu.2015.10.069,reported,2016,Spain,Prospective population referral cohort,Suspected NPH referrals in defined catchment,Include,Active referral reminders may increase ascertainment,MARTINLAEZ2016 (2016)
P1_REFERRAL_TO_SHUNT,Initial suspicion/referral to shunt,primary,Defined-population referral registry,NA,NA,Kuopio,TRUE,Primary Kuopio report for this estimand,PYYKKO2018||E4||End-to-end shunt receipt among possible iNPH,PYYKKO2018,2018,Patients,E4,End-to-end shunt receipt among possible iNPH,269,536,0.5018656716417911,0.4981343283582089,Patient cascade - end-to-end,Yes with overlap control,Do not combine with overlapping Kuopio reports,Derived,https://doi.org/10.1016/j.wneu.2018.01.107,reported,2018,Finland,Defined-population registry cohort,Possible iNPH referred to Kuopio,Include with overlap control,Potential overlap with other Kuopio registry publications,PYYKKO2018 (2018)
P1_REFERRAL_TO_SHUNT,Initial suspicion/referral to shunt,primary,Multidisciplinary NPH conference,NA,NA,HenryFord,TRUE,Conference-entry denominator,MACKI2020||E4||End-to-end shunt receipt among conference presentations,MACKI2020,2020,Patients,E4,End-to-end shunt receipt among conference presentations,86,330,0.2606060606060606,0.7393939393939394,Patient cascade - end-to-end,Yes,Reported as 26% of original cohort,Results,https://doi.org/10.1093/neuros/nyaa199,reported,2020,USA,Retrospective multidisciplinary cohort,NPH-conference presentations,Include,Some tap and ELD pathways overlap; source denominator reported as 328 and 330,MACKI2020 (2020)
P1_REFERRAL_TO_SHUNT,Initial suspicion/referral to shunt,primary,Specialist clinical evaluation,ELD,NA,VCU,TRUE,Clinical iNPH protocol cohort,MARMAROU2005||E4||Shunt receipt among all evaluated patients,MARMAROU2005,2005,Patients,E4,Shunt receipt among all evaluated patients,102,151,0.6754966887417219,0.32450331125827814,Patient cascade - end-to-end,Yes,Includes both positive and selected negative-test patients,Derived from Results,https://doi.org/10.3171/jns.2005.102.6.0987,reported,2005,USA,Prospective protocol cohort,Clinical iNPH undergoing ELD-based evaluation,Include,Test-negative verification was selected; preferences influenced surgery,MARMAROU2005 (2005)
P1_REFERRAL_TO_SHUNT,Initial suspicion/referral to shunt,primary,Memory-clinic suspected referrals,NA,NA,NA,TRUE,Derived end-to-end effect from suspected referrals,BECHAZEDDINE2001||E4||Shunt receipt among suspected memory-clinic referrals (derived),BECHAZEDDINE2001,2001,Patients,E4,Shunt receipt among suspected memory-clinic referrals (derived),13,71,0.18309859154929578,0.8169014084507042,Patient cascade - end-to-end,Yes,Derived from 13 shunted iNPH patients among 71 initially suspected referrals.,Derived from reported Results flow,https://doi.org/10.1046/j.1468-1331.2001.00291.x,derived,2001,Denmark,Multidisciplinary memory-clinic cohort,Consecutive memory-clinic patients,Include,Selected referral and historical diagnostic protocol; small diagnosed sample,BECHAZEDDINE2001 (2001)
P1_REFERRAL_TO_SHUNT,Initial suspicion/referral to shunt,overlap_alternative,Protocol-selected referral registry,NA,NA,Kuopio,TRUE,Swap for Pyykko in overlap sensitivity,JUNKKARI2019||E4||End-to-end shunt receipt among protocol cohort,JUNKKARI2019,2019,Patients,E4,End-to-end shunt receipt among protocol cohort,177,253,0.6996047430830039,0.3003952569169961,Patient cascade - end-to-end,Yes with overlap control,Includes shunting after positive and negative prognostic tests plus two ancillary ICP cases,Figure 1 / Results,https://doi.org/10.1186/s12987-019-0142-9,reported,2019,Finland,Retrospective registry protocol cohort,Suspected iNPH referrals following Kuopio protocol,Include with overlap control,"Kuopio registry overlap; 88/341 excluded from research, mostly nonstandard gait assessment",JUNKKARI2019 (2019)
P1_REFERRAL_TO_SHUNT,Initial suspicion/referral to shunt,broad_setting,All-comer memory clinic,NA,NA,NA,TRUE,Broader denominator includes all memory-clinic patients,RAZAY2019||E4||End-to-end shunt receipt among memory-clinic cohort,RAZAY2019,2019,Patients,E4,End-to-end shunt receipt among memory-clinic cohort,29,408,0.07107843137254902,0.928921568627451,Patient cascade - end-to-end,Yes,Low end-to-end proportion reflects both diagnostic yield and non-progression,Derived,https://doi.org/10.1136/bmjopen-2018-028103,reported,2019,Australia,Prospective memory-clinic cohort,Consecutive memory-clinic patients,Include,Only 25/29 shunted had analyzable follow-up outcome,RAZAY2019 (2019)
P1_REFERRAL_TO_SHUNT,Initial suspicion/referral to shunt,broad_selected,Invasively evaluated suspected cohort,HVLP,NA,NA,TRUE,Selection required an invasive procedure,KLASSEN2011||E4||End-to-end shunt receipt among invasively evaluated suspected NPH,KLASSEN2011,2011,Patients,E4,End-to-end shunt receipt among invasively evaluated suspected NPH,13,41,0.3170731707317073,0.6829268292682926,Patient cascade - end-to-end,Yes,Includes one patient taken directly to shunt and one treated at the regional VA,Results,NA,reported,2011,USA,Population-linked retrospective cohort,Olmsted County residents with clinical suspicion sufficient for an invasive procedure,Include,Operational suspicion required invasive evaluation; only 12 local shunt outcomes available,KLASSEN2011 (2011)
