study_id,level,stage,barrier_reason,count,denominator,denominator_definition,interpretation_note,source_location,url,proportion,barrier_category,ci_low,ci_high
GIANNINI2019,Patient,Participation / work-up,Declined study participation,7,154,Initial referrals,May be research participation rather than clinical-care refusal,Results flow,https://doi.org/10.1016/j.parkreldis.2019.07.021,0.045454545454545456,Diagnostic-test non-completion,0.018467719055790477,0.09140937878400024
GIANNINI2019,Patient,Diagnostic work-up,Refused inpatient iNPH program,7,154,Initial referrals,Direct diagnostic attrition,Results flow,https://doi.org/10.1016/j.parkreldis.2019.07.021,0.045454545454545456,Diagnostic-test non-completion,0.018467719055790477,0.09140937878400024
GIANNINI2019,Patient,Follow-up,Lost to follow-up,1,154,Initial referrals,NA,Results flow,https://doi.org/10.1016/j.parkreldis.2019.07.021,0.006493506493506494,Referral or follow-up loss,1.6438783738581542e-4,0.0356470312906918
GIANNINI2019,Patient,Treatment eligibility,Comorbidity or major surgical contraindication,28,76,Diagnosed iNPH,Main treatment-selection loss,Results flow,https://doi.org/10.1016/j.parkreldis.2019.07.021,0.3684210526315789,Medical or surgical non-eligibility,0.2605756352602011,0.48685642345765223
GIANNINI2019,Patient,Treatment uptake,Refused shunt,1,48,Surgical candidates,NA,Results flow,https://doi.org/10.1016/j.parkreldis.2019.07.021,0.020833333333333332,Patient or family preference,5.273152534230885e-4,0.11069616059315224
GALLINA2018,Patient/procedure,Diagnostic testing,Drain placement impossible,2,93,ELD attempts,Obesity n=1; spinal stenosis n=1,Results,https://doi.org/10.3171/2018.6.JNS18400,0.021505376344086023,Diagnostic-test non-completion,0.002615094697133058,0.07553297205250831
GALLINA2018,Patient/procedure,Diagnostic testing,ELD stopped because of symptoms,1,93,ELD attempts,NA,Results,https://doi.org/10.3171/2018.6.JNS18400,0.010752688172043012,Diagnostic-test non-completion,2.7219744200712714e-4,0.05845816451438035
GALLINA2018,Patient,Treatment uptake,Positive-test patient refused surgery,4,66,ELD-positive,NA,Results,https://doi.org/10.3171/2018.6.JNS18400,0.06060606060606061,Diagnostic-test non-completion,0.016758222698167957,0.14796756394584565
ALHUSAINI2024,Patient,Treatment uptake,Conservative management chosen,8,55,Surgical candidates,NA,Results,https://doi.org/10.3390/jcm13206135,0.14545454545454545,Other / unclear,0.06495142333100312,0.26663231594265857
ALHUSAINI2024,Patient,Treatment eligibility,Medically excluded,6,55,Surgical candidates,NA,Results,https://doi.org/10.3390/jcm13206135,0.10909090909090909,Medical or surgical non-eligibility,0.041101504822494195,0.2224709083402292
RAZAY2019,Patient,Treatment eligibility,Medically unfit,9,62,Diagnosed iNPH,Part of 33 non-shunted,Table 4,https://doi.org/10.1136/bmjopen-2018-028103,0.14516129032258066,Medical or surgical non-eligibility,0.06858861262346105,0.2577568627291409
RAZAY2019,Patient,Treatment uptake,Patient/family refusal,12,62,Diagnosed iNPH,Part of 33 non-shunted,Table 4,https://doi.org/10.1136/bmjopen-2018-028103,0.1935483870967742,Patient or family preference,0.10420962926217636,0.31368595169946256
RAZAY2019,Patient,Intercurrent illness,Intervening comorbidity,4,62,Diagnosed iNPH,Metastatic cancer 2; stroke 1; bowel infarction 1,Table 4,https://doi.org/10.1136/bmjopen-2018-028103,0.06451612903225806,Medical or surgical non-eligibility,0.01785669716365046,0.15702808403757407
RAZAY2019,Patient,Differential diagnosis,Parkinsonism,2,62,Diagnosed iNPH,NA,Table 4,https://doi.org/10.1136/bmjopen-2018-028103,0.03225806451612903,Diagnostic reclassification / alternative diagnosis,0.003930757197608936,0.11171912462380706
RAZAY2019,Patient,Other,Achondroplasia,1,62,Diagnosed iNPH,NA,Table 4,https://doi.org/10.1136/bmjopen-2018-028103,0.016129032258064516,Other / unclear,4.082683774573326e-4,0.08662101220691965
RAZAY2019,Patient,Consent,No available consent,1,62,Diagnosed iNPH,NA,Table 4,https://doi.org/10.1136/bmjopen-2018-028103,0.016129032258064516,Research selection / attrition,4.082683774573326e-4,0.08662101220691965
RAZAY2019,Patient,Clinical timing,Waiting for sufficient deterioration,1,62,Diagnosed iNPH,NA,Table 4,https://doi.org/10.1136/bmjopen-2018-028103,0.016129032258064516,Waiting or system capacity,4.082683774573326e-4,0.08662101220691965
RAZAY2019,Patient,Follow-up/access,Moved away or lost to follow-up,2,62,Diagnosed iNPH,NA,Table 4,https://doi.org/10.1136/bmjopen-2018-028103,0.03225806451612903,Referral or follow-up loss,0.003930757197608936,0.11171912462380706
RAZAY2019,Patient,Participation,Withdrawn from study,1,62,Diagnosed iNPH,NA,Table 4,https://doi.org/10.1136/bmjopen-2018-028103,0.016129032258064516,Research selection / attrition,4.082683774573326e-4,0.08662101220691965
KLASSEN2011,Patient,Treatment decision,Competing neurologic diagnosis after positive HVLP,1,14,HVLP-positive,Later levodopa-responsive parkinsonism,Results,NA,0.07142857142857142,Other / unclear,0.0018067806591254287,0.3386844899318212
KLASSEN2011,Patient,Follow-up/access,Did not attend neurosurgical evaluation after positive HVLP,1,14,HVLP-positive,Later diagnosed with multi-infarct dementia,Results,NA,0.07142857142857142,Referral or follow-up loss,0.0018067806591254287,0.3386844899318212
KLASSEN2011,Patient,Treatment uptake,Declined neurosurgical intervention after positive HVLP,1,14,HVLP-positive,History of schizophrenia,Results,NA,0.07142857142857142,Patient or family preference,0.0018067806591254287,0.3386844899318212
YU2025,Patient,Treatment uptake,Declined VP shunt,1,2,Probable iNPH,High-risk DCM cohort; single patient,Results,https://doi.org/10.1007/s00586-025-08945-3,0.5,Patient or family preference,0.012579117093425074,0.9874208829065749
OIKE2021,Patient,Diagnostic testing,Did not request tap test because symptoms were minor,4,44,Possible iNPH,Patient preference linked to symptom severity,Results,https://doi.org/10.1016/j.clineuro.2021.106635,0.09090909090909091,Diagnostic-test non-completion,0.025328421703450732,0.21668658946527453
OIKE2021,Patient,Diagnostic testing,Tap test not pursued because of severe cognitive impairment,5,44,Possible iNPH,Clinical selection/feasibility,Results,https://doi.org/10.1016/j.clineuro.2021.106635,0.11363636363636363,Other / unclear,0.03794371293927479,0.24557677631553132
OIKE2021,Patient,Diagnostic testing,Tap test not pursued because of advanced cancer,1,44,Possible iNPH,Competing illness,Results,https://doi.org/10.1016/j.clineuro.2021.106635,0.022727272727272728,Other / unclear,5.752392133631101e-4,0.1202415822063474
OIKE2021,Patient,Treatment uptake,Did not consent to shunt surgery,2,29,Probable iNPH,NA,Results,https://doi.org/10.1016/j.clineuro.2021.106635,0.06896551724137931,Research selection / attrition,0.008463962253001833,0.22766188994448622
JUNKKARI2019,Patient,Treatment uptake,Patient refusal among probable/possible iNPH not shunted,10,14,Probable/possible iNPH not shunted,"Subset denominator is the 14 clinically probable/possible unshunted patients, not all 253 referrals",Results,https://doi.org/10.1186/s12987-019-0142-9,0.7142857142857143,Patient or family preference,0.41896474281633855,0.9161106816928725
JUNKKARI2019,Patient,Treatment eligibility,Severe comorbidity prevented general anesthesia,4,14,Probable/possible iNPH not shunted,Subset denominator is the 14 clinically probable/possible unshunted patients,Results,https://doi.org/10.1186/s12987-019-0142-9,0.2857142857142857,Medical or surgical non-eligibility,0.08388931830712754,0.5810352571836614
JUNKKARI2019,Patient,Differential diagnosis,Ultimately classified as unlikely iNPH,62,253,Protocol cohort,Most common alternative was Alzheimer disease (14/62),Table 3 / Results,https://doi.org/10.1186/s12987-019-0142-9,0.2450592885375494,Diagnostic reclassification / alternative diagnosis,0.1933504626222864,0.30284807749131815
GHAFFARIRAFI2020_HI,Patient records,Diagnostic reclassification,Secondary hydrocephalus/alternative cause,10,51,ICD-coded candidate records,"Exclude from idiopathic cohort; causes included vascular, obstructive, traumatic and hemorrhagic conditions",Results,https://doi.org/10.1016/j.clineuro.2020.105836,0.19607843137254902,Diagnostic reclassification / alternative diagnosis,0.09824341651159874,0.3311573512529289
GHAFFARIRAFI2020_HI,Patient records,Diagnostic reclassification,Did not meet guideline criteria,12,51,ICD-coded candidate records,Clinical adjudication overturned administrative coding,Results,https://doi.org/10.1016/j.clineuro.2020.105836,0.23529411764705882,Diagnostic reclassification / alternative diagnosis,0.12790810025182786,0.37493050835985864
ANILE2010,Patients,Selection for shunt,Infusion criterion not met after 1989,24,120,Suspected patients undergoing infusion,Era-dependent selection; five were retested and remained below threshold,Results,https://doi.org/10.3171/2010.1.JNS091296,0.2,Other / unclear,0.13254756754471875,0.28280989089794006
MAHR2016,Patients,Analysis inclusion,Complication during work-up,4,74,Consecutive enrolled patients,Excluded from analysis; exact complication types should not be combined with shunt complications,Results,https://doi.org/10.3171/2015.8.JNS151112,0.05405405405405406,Other / unclear,0.014922345192151854,0.13265514122182442
MAHR2016,Patients,Analysis inclusion,Noncompliance,2,74,Consecutive enrolled patients,Research/work-up attrition,Results,https://doi.org/10.3171/2015.8.JNS151112,0.02702702702702703,Research selection / attrition,0.0032900227181066333,0.09424433948451927
MOREL2026,Patients,After first assessment,No further investigation,41,86,First multidisciplinary assessments,"Reasons included absence of iNPH, severe comorbidity and previously treated hydrocephalus without revision indication; exact categories overlap or are incompletely enumerated",Results/Fig. 1,https://doi.org/10.1159/000553392,0.47674418604651164,Medical or surgical non-eligibility,0.3678567142190823,0.5872790523133358
MOREL2026,Patients,Diagnostic testing,Tap test impossible or inadequate,3,45,Selected for further investigation,Anatomical/technical limitation or inadequate CSF volume,Results,https://doi.org/10.1159/000553392,0.06666666666666667,Diagnostic-test non-completion,0.013965097044370545,0.18268445657822674
MOREL2026,Patients,After board recommendation,Not yet operated,11,27,Shunt recommended,"Waiting, decline or clinical deterioration were reported only in aggregate",Results,https://doi.org/10.1159/000553392,0.4074074074074074,Patient or family preference,0.22389729135058134,0.6120160697403181
BELZILE2026,Patients,Referral decision,Insufficient clinical improvement after tap test,56,175,Probable iNPH after standardized tap test,Decision not to refer; should not be labelled avoidable without adjudicating appropriateness,Results,https://doi.org/10.1017/cjn.2026.10544,0.32,Insufficient expected benefit / negative assessment,0.25162525558432525,0.39459499554069877
BELZILE2026,Patients,After referral,Declined shunt,5,119,Patients referred for shunt,Patient preference after surgical referral,Results,https://doi.org/10.1017/cjn.2026.10544,0.04201680672268908,Patient or family preference,0.01378139519012278,0.09533092973764723
MARMAROU2005,Patients,After positive ELD,Not shunted,16,100,ELD-positive patients,Reasons not fully decomposed in the extracted report,Results,https://doi.org/10.3171/jns.2005.102.6.0987,0.16,Other / unclear,0.094310289973946193,0.24678759741086242
POUDEL2026,Patients,Initial diagnostic screen,Alternative or secondary diagnosis,8,48,Possible iNPH screened,"Two secondary NPH, three vascular cognitive impairment, two PSP and one Parkinson disease plus Alzheimer disease",Results,https://doi.org/10.1016/j.prdoa.2026.100425,0.16666666666666666,Diagnostic reclassification / alternative diagnosis,0.07481086039959306,0.30222241352988033
POUDEL2026,Patients,After probable iNPH diagnosis,Awaiting surgery,4,40,Probable iNPH,Publication-stage non-progression,Results,https://doi.org/10.1016/j.prdoa.2026.100425,0.1,Waiting or system capacity,0.027925415294219325,0.23663739987609989
POUDEL2026,Patients,After probable iNPH diagnosis,Medically/surgically unfit,3,40,Probable iNPH,Clinical contraindication rather than an automatically avoidable gap,Results,https://doi.org/10.1016/j.prdoa.2026.100425,0.075,Medical or surgical non-eligibility,0.015742179851041538,0.20386474873289895
POUDEL2026,Patients,After probable iNPH diagnosis,Refused surgery,9,40,Probable iNPH,Patient decision,Results,https://doi.org/10.1016/j.prdoa.2026.100425,0.225,Patient or family preference,0.10839663898407204,0.3845116773034225
MACKI2020,Patients,Diagnostic reclassification,Treatable alternative diagnosis,87,316,Idiopathic-suspect cohort,Important competing pathway; 70 had follow-up and 36 improved after alternative treatment,Results,https://doi.org/10.1093/neuros/nyaa199,0.27531645569620256,Diagnostic reclassification / alternative diagnosis,0.2267968085043861,0.3281043757991936
