analysis_id,sensitivity_id,set_ids,exclude_studies,design_pattern,year_min,denominator_min,description
P1_REFERRAL_TO_SHUNT,strict_primary,primary,,,,,"Clinically suspected/referral inception cohorts"
P1_REFERRAL_TO_SHUNT,broad_entry,primary|broad_selected|broad_setting,,,,,"Adds diagnostically/procedurally selected and all-comer memory-clinic cohorts"
P1_REFERRAL_TO_SHUNT,kuopio_overlap_swap,primary|overlap_alternative,PYYKKO2018,,,,"Replaces Pyykko with Junkkari within the Kuopio cluster"
P1_REFERRAL_TO_SHUNT,prospective_only,primary,,Prospective,,,"Restricts to prospective designs"
P1_REFERRAL_TO_SHUNT,guideline_era,primary,,,2005,,"Excludes studies before the 2005 international criteria"
P1_REFERRAL_TO_SHUNT,n_at_least_30,primary,,,,30,"Excludes very small denominators"
P2_DIAGNOSED_TO_SHUNT,strict_primary,primary,,,,,"Diagnosed or probable iNPH cohorts"
P2_DIAGNOSED_TO_SHUNT,broad_selected,primary|broad_selected,,,,,"Adds candidate/protocol-selected cohorts"
P2_DIAGNOSED_TO_SHUNT,japan_survey_kuriyama,primary|broad_survey,,,,,"Adds Kuriyama as the selected report from the 2012 Japanese survey"
P2_DIAGNOSED_TO_SHUNT,japan_survey_nakajima,primary|overlap_alternative,,,,,"Adds Nakajima instead of Kuriyama from the same survey cluster"
P2_DIAGNOSED_TO_SHUNT,prospective_only,primary,,Prospective,,,"Restricts to prospective designs"
P2_DIAGNOSED_TO_SHUNT,guideline_era,primary,,,2005,,"Excludes studies before the 2005 international criteria"
P2_DIAGNOSED_TO_SHUNT,n_at_least_30,primary,,,,30,"Excludes very small denominators"
