study_id,country_setting,data_source,domain,group,measure,estimate,unit,comparator_precision,interpretation,url
GHAFFARIRAFI2020_NIS,USA,Administrative diagnoses,Overall,All inpatient diagnoses,Diagnosis rate,2.86,"per 100,000",IQR 2.72-2.93 across study years,Ecological/context only,https://doi.org/10.1016/j.jns.2020.117152
GHAFFARIRAFI2020_NIS,USA,Administrative diagnoses,Sex,Male,Diagnosis rate,3.27,"per 100,000",Female 2.45,Do not infer individual diagnostic probability,https://doi.org/10.1016/j.jns.2020.117152
GHAFFARIRAFI2020_NIS,USA,Administrative diagnoses,Sex,Female,Diagnosis rate,2.45,"per 100,000",Male 3.27,Do not infer individual diagnostic probability,https://doi.org/10.1016/j.jns.2020.117152
GHAFFARIRAFI2020_NIS,USA,Administrative diagnoses,Age,65-84 years,Diagnosis rate,17.89,"per 100,000",Age 85+ 18.81,Administrative age gradient,https://doi.org/10.1016/j.jns.2020.117152
GHAFFARIRAFI2020_NIS,USA,Administrative diagnoses,Age,85+ years,Diagnosis rate,18.81,"per 100,000",Age 65-84 17.89,Administrative age gradient,https://doi.org/10.1016/j.jns.2020.117152
GHAFFARIRAFI2020_NIS,USA,Administrative diagnoses,Income,Lowest income quartile,Diagnosis rate,2.37,"per 100,000",Middle/high income 2.96,Area-level income; ecological,https://doi.org/10.1016/j.jns.2020.117152
GHAFFARIRAFI2020_NIS,USA,Administrative diagnoses,Race/ethnicity,White,Diagnosis rate,3.88,"per 100,000",Black 1.065; Hispanic 0.82; Asian/PI 0.43; Native American 0.027,"Likely reflects access, coding and ascertainment as well as disease occurrence",https://doi.org/10.1016/j.jns.2020.117152
GHAFFARIRAFI2020_NIS,USA,Administrative diagnoses,Race/ethnicity,Black,Diagnosis rate,1.065,"per 100,000",White 3.88,"Likely reflects access, coding and ascertainment as well as disease occurrence",https://doi.org/10.1016/j.jns.2020.117152
GHAFFARIRAFI2020_NIS,USA,Administrative diagnoses,Race/ethnicity,Hispanic,Diagnosis rate,0.82,"per 100,000",White 3.88,"Likely reflects access, coding and ascertainment as well as disease occurrence",https://doi.org/10.1016/j.jns.2020.117152
GHAFFARIRAFI2020_NIS,USA,Administrative diagnoses,Race/ethnicity,Asian/Pacific Islander,Diagnosis rate,0.43,"per 100,000",White 3.88,"Likely reflects access, coding and ascertainment as well as disease occurrence",https://doi.org/10.1016/j.jns.2020.117152
GHAFFARIRAFI2020_HI,USA (Hawaii),Specialty-center confirmed cohort,Race/ethnicity,White,Adjusted odds ratio,4.01,OR,95% CI 1.59-10.11,Specialty-center association; not a population incidence ratio,https://doi.org/10.1016/j.clineuro.2020.105836
GHAFFARIRAFI2020_HI,USA (Hawaii),Specialty-center confirmed cohort,Race/ethnicity,Native Hawaiian/Pacific Islander,Adjusted odds ratio,0.01,OR,95% CI approximately 0-0.78,Sparse-data estimate; interpret cautiously,https://doi.org/10.1016/j.clineuro.2020.105836
GHAFFARIRAFI2020_HI,USA (Hawaii),Specialty-center confirmed cohort,Clinical history,Psychiatric history,Adjusted odds ratio,2.48,OR,95% CI 1.08-5.68,Exploratory contextual association,https://doi.org/10.1016/j.clineuro.2020.105836
