study_id,year,country,design,data_level,base_population,base_n,review_stratum,synthesis_status,main_bias_limitation,url
BECHAZEDDINE2001,2001,Denmark,Multidisciplinary memory-clinic cohort,Patients,Consecutive memory-clinic patients,400,Diagnostic reclassification/cascade,Include,Selected referral and historical diagnostic protocol; small diagnosed sample,https://doi.org/10.1046/j.1468-1331.2001.00291.x
MARMAROU2005,2005,USA,Prospective protocol cohort,Patients,Clinical iNPH undergoing ELD-based evaluation,151,Diagnostic/treatment cascade,Include,Test-negative verification was selected; preferences influenced surgery,https://doi.org/10.3171/jns.2005.102.6.0987
BREAN2008,2008,Norway,Population-referral diagnostic cohort,Patients,Older adults referred after active ascertainment,86,Diagnostic cascade,Include separate stratum,Referral/media campaign may inflate ascertainment; no treatment outcome,https://doi.org/10.1111/j.1600-0404.2007.00982.x
ANILE2010,2010,Italy,Historical clinical cohort,Patients,Clinical/imaging suspected iNPH undergoing intraventricular infusion,120,Diagnostic/treatment cascade,Include with era sensitivity,Selection thresholds and practice changed across three eras,https://doi.org/10.3171/2010.1.JNS091296
KLASSEN2011,2011,USA,Population-linked retrospective cohort,Patients,Olmsted County residents with clinical suspicion sufficient for an invasive procedure,41,Diagnostic/treatment cascade,Include,Operational suspicion required invasive evaluation; only 12 local shunt outcomes available,NA
MAHR2016,2016,Germany,Consecutive observational cohort,Patients,Clinically suspected iNPH,74,Diagnostic-testing cascade,Include,Six exclusions after enrollment; internal count/timepoint inconsistencies,https://doi.org/10.3171/2015.8.JNS151112
MARTINLAEZ2016,2016,Spain,Prospective population referral cohort,Patients,Suspected NPH referrals in defined catchment,293,Diagnostic/treatment cascade,Include,Active referral reminders may increase ascertainment,https://doi.org/10.1016/j.wneu.2015.10.069
KURIYAMA2017,2017,Japan,Two-stage nationwide hospital survey,Facilities + patient forms,Hospital-reported iNPH and second-stage patient sample,1524,Survey/admin + patient transitions,Include separate strata,First-stage response 42.7%; estimates and raw patient forms must not be mixed,https://doi.org/10.1002/brb3.635
GALLINA2018,2018,Italy,Retrospective consecutive cohort,Patients,Selected suspected iNPH undergoing 1-day ELD,93,Diagnostic-testing cascade,Include,Only 6/24 test-negative patients were shunted; outcome verification is selected,https://doi.org/10.3171/2018.6.JNS18400
NAKAJIMA2018,2018,Japan,Nationwide survey secondary analysis,Patient forms,Possible iNPH patients age 60+ with complete sex and mRS data,1423,Survey patient transitions,Include with overlap control,Same 2012 nationwide survey as Kuriyama; tap-test counts/percentages imply a different denominator,https://doi.org/10.3389/fneur.2018.00421
PYYKKO2018,2018,Finland,Defined-population registry cohort,Patients,Possible iNPH referred to Kuopio,536,Diagnostic/treatment cascade,Include with overlap control,Potential overlap with other Kuopio registry publications,https://doi.org/10.1016/j.wneu.2018.01.107
GIANNINI2019,2019,Italy,Prospective observational,Patients,Suspected iNPH referrals,154,Diagnostic/treatment cascade,Include,Single-center structured protocol; some patients still ongoing,https://doi.org/10.1016/j.parkreldis.2019.07.021
JUNKKARI2019,2019,Finland,Retrospective registry protocol cohort,Patients,Suspected iNPH referrals following Kuopio protocol,253,Diagnostic/treatment cascade,Include with overlap control,"Kuopio registry overlap; 88/341 excluded from research, mostly nonstandard gait assessment",https://doi.org/10.1186/s12987-019-0142-9
RAZAY2019,2019,Australia,Prospective memory-clinic cohort,Patients,Consecutive memory-clinic patients,408,Diagnostic/treatment cascade,Include,Only 25/29 shunted had analyzable follow-up outcome,https://doi.org/10.1136/bmjopen-2018-028103
MACKI2020,2020,USA,Retrospective multidisciplinary cohort,Patients,NPH-conference presentations,330,Diagnostic reclassification/cascade,Include,Some tap and ELD pathways overlap; source denominator reported as 328 and 330,https://doi.org/10.1093/neuros/nyaa199
OIKE2021,2021,Japan,Retrospective high-risk screening cohort,Patients,Fall presenters age 60-89 who underwent head CT,235,High-risk screening cascade,Include separate stratum,51.7% of all fall presenters did not undergo CT; not representative of all elderly fallers,https://doi.org/10.1016/j.clineuro.2021.106635
ALHUSAINI2024,2024,USA,Prospective implementation cohort,Patients,New suspected NPH referrals,111,Diagnostic/treatment cascade,Include,No pre-protocol comparator; candidates include 3 secondary NPH,https://doi.org/10.3390/jcm13206135
BELZILE2026,2026,Canada,Retrospective clinical cohort,Patients,Probable iNPH after standardized tap test,175,Referral/treatment cascade,Include,Referral decision based partly on post-test clinical judgment; postoperative attrition,https://doi.org/10.1017/cjn.2026.10544
MOREL2026,2026,Switzerland,Consecutive implementation cohort,Patients,First multidisciplinary assessments,86,Implementation cascade,Include,Board and tap-test stages are not strictly serial; publication-stage waiting remains,https://doi.org/10.1159/000553392
POUDEL2026,2026,India,Prospective clinical cohort,Patients,Possible iNPH screened for probable iNPH,48,Diagnostic/treatment cascade,Include,Small single-center cohort and short follow-up; outcome-count inconsistency,https://doi.org/10.1016/j.prdoa.2026.100425
