study_id,year,data_level,stage,estimand,numerator,denominator,proportion,complement,pooling_stratum,pool,notes,source_location,url,source_type,effect_key
GIANNINI2019,2019,Patients,E1,Completed inpatient diagnostic program among initial referrals,89,154,0.577922077922078,0.42207792207792205,Patient cascade - end-to-end,Yes,15/154 explicit dropouts; MRI and outpatient exclusions occurred before inpatient work-up,"Results flow, PDF pp. 3-4",https://doi.org/10.1016/j.parkreldis.2019.07.021,reported,GIANNINI2019||E1||Completed inpatient diagnostic program among initial referrals
GIANNINI2019,2019,Patients,E1,iNPH diagnosis among completed inpatient work-up,76,89,0.8539325842696629,0.1460674157303371,Patient cascade - conditional,Yes,Diagnosis after full inpatient program,"Results flow, PDF pp. 3-4",https://doi.org/10.1016/j.parkreldis.2019.07.021,reported,GIANNINI2019||E1||iNPH diagnosis among completed inpatient work-up
GIANNINI2019,2019,Patients,E3,Surgical candidacy among diagnosed iNPH,48,76,0.631578947368421,0.368421052631579,Patient cascade - conditional,Yes,28 excluded because of comorbidity/major contraindication,"Results flow, PDF pp. 3-4",https://doi.org/10.1016/j.parkreldis.2019.07.021,reported,GIANNINI2019||E3||Surgical candidacy among diagnosed iNPH
GIANNINI2019,2019,Patients,E3,Shunt receipt among surgical candidates,43,48,0.8958333333333334,0.10416666666666663,Patient cascade - conditional,Yes,"Five not yet operated at report: death 1, refusal 1, ongoing 3","Results flow, PDF pp. 3-4",https://doi.org/10.1016/j.parkreldis.2019.07.021,reported,GIANNINI2019||E3||Shunt receipt among surgical candidates
GALLINA2018,2018,Patients,E5,Positive ELD among completed tests,66,90,0.7333333333333333,0.2666666666666667,Test positivity,Yes,Positive according to study criteria,Results,https://doi.org/10.3171/2018.6.JNS18400,reported,GALLINA2018||E5||Positive ELD among completed tests
KURIYAMA2017,2017,Patient forms,E2,Tap test performed,1273,1524,0.8353018372703412,0.16469816272965876,Survey patient sample,Conditional,"Prevalent, hospital-reported patient forms",Table/Results,https://doi.org/10.1002/brb3.635,reported,KURIYAMA2017||E2||Tap test performed
KURIYAMA2017,2017,Patient forms,E5,Positive tap test among performed,1061,1273,0.8334642576590731,0.16653574234092694,Test positivity,Conditional,Questionnaire-derived,Table/Results,https://doi.org/10.1002/brb3.635,reported,KURIYAMA2017||E5||Positive tap test among performed
KURIYAMA2017,2017,Patient forms,E6,mRS improvement among shunted,559,1004,0.5567729083665338,0.4432270916334662,Post-shunt response,Conditional,Aggregate across VP/LP/VA shunts,Table 5,https://doi.org/10.1002/brb3.635,reported,KURIYAMA2017||E6||mRS improvement among shunted
RAZAY2019,2019,Patients,E6,≥25% improvement among shunted with follow-up,24,25,0.96,0.040000000000000036,Post-shunt response,Conditional,Four shunted participants lacked comparable follow-up,Results,https://doi.org/10.1136/bmjopen-2018-028103,reported,RAZAY2019||E6||≥25% improvement among shunted with follow-up
TSENG2024,2024,Claims,A1,Shunt-coded treatment among claims-coded iNPH,376,2053,0.18314661471018023,0.8168533852898198,Administrative utilization,No patient-cascade pooling,Procedure within six months of diagnosis; selection and coding limitations,Methods / Results,https://doi.org/10.1186/s12987-024-00517-9,reported,TSENG2024||A1||Shunt-coded treatment among claims-coded iNPH
