field,value,status,note
medline_initial,278,known,"Original search"
medline_update,500,known,"Updated PubMed/MEDLINE search supplied by authors"
medline_total,778,known,"278 + 500"
scopus,199,known,"Original search"
embase,283,known,"Original search"
cochrane_library,79,known,"Original search"
web_of_science,341,known,"Original search"
records_identified_databases,1680,known,"778 + 199 + 283 + 79 + 341"
records_screened_original,814,known,"Original records after deduplication"
unique_update_records,212,known,"Author-confirmed unique records from the 500-record MEDLINE update"
records_screened_total,1026,derived,"814 + 212"
records_excluded_title_abstract,953,derived,"1026 screened - 73 reports sought"
reports_sought_for_retrieval_total,73,provisional,"55 original full texts + 18 newly assessed reports; confirm no report was unavailable"
reports_not_retrieved,0,provisional,"Confirm against the retrieval log"
reports_assessed_for_eligibility_total,73,provisional,"55 original + 18 new"
reports_excluded_original,33,derived,"55 assessed - 22 included"
reports_excluded_update,1,known,"Source-form/book compilation; separately published primary reports retained"
reports_excluded_total,34,derived,"33 original + 1 update"
reports_included_original,22,known,"Original review"
reports_included_update,17,known,"New full-text set retained in quantitative, structured or contextual synthesis"
reports_included_review,39,derived,"22 original + 17 update"
study_units_in_strict_meta_analyses,20,known,"Distinct analytic study units contributing to at least one strict pooled estimand"
