study_id,stage,estimand,analysis_id,analysis_label,set_id,entry_setting,test_type,timepoint_months,overlap_cluster,include_pool,decision_note
GIANNINI2019,E4,"End-to-end shunt receipt among initial referrals",P1_REFERRAL_TO_SHUNT,"Initial suspicion/referral to shunt",primary,"Specialist referral clinic",, ,Bologna,TRUE,"Initial referral denominator"
ALHUSAINI2024,E4,"End-to-end shunt receipt among referrals",P1_REFERRAL_TO_SHUNT,"Initial suspicion/referral to shunt",primary,"Multidisciplinary referral clinic",, ,,TRUE,"Prospective implementation cohort"
MARTINLAEZ2016,E4,"End-to-end shunt receipt among suspected referrals",P1_REFERRAL_TO_SHUNT,"Initial suspicion/referral to shunt",primary,"Defined-catchment referral",, ,,TRUE,"Population catchment with active referral reminders"
PYYKKO2018,E4,"End-to-end shunt receipt among possible iNPH",P1_REFERRAL_TO_SHUNT,"Initial suspicion/referral to shunt",primary,"Defined-population referral registry",, ,Kuopio,TRUE,"Primary Kuopio report for this estimand"
MACKI2020,E4,"End-to-end shunt receipt among conference presentations",P1_REFERRAL_TO_SHUNT,"Initial suspicion/referral to shunt",primary,"Multidisciplinary NPH conference",, ,HenryFord,TRUE,"Conference-entry denominator"
MARMAROU2005,E4,"Shunt receipt among all evaluated patients",P1_REFERRAL_TO_SHUNT,"Initial suspicion/referral to shunt",primary,"Specialist clinical evaluation",ELD, ,VCU,TRUE,"Clinical iNPH protocol cohort"
BECHAZEDDINE2001,E4,"Shunt receipt among suspected memory-clinic referrals (derived)",P1_REFERRAL_TO_SHUNT,"Initial suspicion/referral to shunt",primary,"Memory-clinic suspected referrals",, ,,TRUE,"Derived end-to-end effect from suspected referrals"
JUNKKARI2019,E4,"End-to-end shunt receipt among protocol cohort",P1_REFERRAL_TO_SHUNT,"Initial suspicion/referral to shunt",overlap_alternative,"Protocol-selected referral registry",, ,Kuopio,TRUE,"Swap for Pyykko in overlap sensitivity"
RAZAY2019,E4,"End-to-end shunt receipt among memory-clinic cohort",P1_REFERRAL_TO_SHUNT,"Initial suspicion/referral to shunt",broad_setting,"All-comer memory clinic",, ,,TRUE,"Broader denominator includes all memory-clinic patients"
KLASSEN2011,E4,"End-to-end shunt receipt among invasively evaluated suspected NPH",P1_REFERRAL_TO_SHUNT,"Initial suspicion/referral to shunt",broad_selected,"Invasively evaluated suspected cohort",HVLP, ,,TRUE,"Selection required an invasive procedure"
GALLINA2018,E4,"End-to-end shunt receipt among ELD attempts",P1_REFERRAL_TO_SHUNT,"Initial suspicion/referral to shunt",broad_selected,"ELD-selected cohort",ELD, ,,TRUE,"Not an initial unselected referral cohort"
BELZILE2026,E4,"End-to-end shunt receipt among probable iNPH",P1_REFERRAL_TO_SHUNT,"Initial suspicion/referral to shunt",broad_selected,"Probable iNPH after tap test",Tap test, ,,TRUE,"Diagnostic/test-selected denominator"
